
--------------------------------- AERODYNAMIC DATABASE @SEA LEVEL ---------------------------------
DATA IN S.I. UNITS		BODY AXES REFERENCE

MASS                                              0.8856                   
WING SPAN                                         0.855                    
WING AREA                                         0.240683                 
CHORD                                             0.293699                 
MACH DRAG RISE                                    0.6                      
THRUST AXIS OFFSET (REF. TO XB ALONG X)           0                        
THRUST AXIS OFFSET (REF. TO XB ALONG Y)           0                        
THRUST AXIS OFFSET (REF. TO XB ALONG Z)           0                        
THRUST AXIS ANGULAR OFFSET                        0                        
(REF. TO XB / X-Y PLANE / POSITIVE RIGHT)         
THRUST AXIS ANGULAR OFFSET                        0                        
(REF. TO XB / X-Z PLANE / POSITIVE RIGHT)         
NUMBER OF ANGLES OF ATTACK                        106                      
ROTARY DERIVATIVES                                PRESENT                  
CENTER OF GRAVITY                                 0.111                    
(REFERENCE LOCATION REF. TO CMAER)                
JX                                                0.00814267               
JY                                                0.0113792                
JZ                                                0.019049                 
JXZ                                               1.01917e-05              
OPTION FOR C.G. UPDATE                            NO                       
CENTER OF GRAVITY REFERENCE LOCATION (UPDATED)    0.111                    
PILOT POSITION (REF. TO CG ALONG XB)              0                        
PILOT POSITION (REF. TO CG ALONG YB)              0                        
PILOT POSITION (REF. TO CG ALONG ZB)              0                        

		DEFLECTION LIMITS
ELEVATOR (max)                                    20                       
ELEVATOR (min)                                    -20                      
AILERONS (symmetrical)                            20                       
RUDDER   (symmetrical)                            20                       
FLAP (up)                                         0                        
FLAP (down)                                       30                       

		FUEL MASS
MASS SWITCH                                       VARIABLE                 
FUEL WEIGHT FRACTION (REF. TO TOW)                0.33                     

		STEADY STATE COEFFICIENTS
ALPHA (deg)         CX                  CY                  CZ                  CL                  CM                  CN                  
15.2                0.127882            0                   -0.864848           0                   -0.095984           0                   
15.4                0.130949            0                   -0.873779           0                   -0.096933           0                   
15.6                0.133919            0                   -0.882181           0                   -0.097801           0                   
15.8                0.136889            0                   -0.890582           0                   -0.098669           0                   
16                  0.139859            0                   -0.898983           0                   -0.099536           0                   


		AERODYNAMIC DERIVATIVES

		X  FORCE DERIVATIVES
ALPHA (deg)         CXA                 CXAP                CXU                 CXQ                 CXB                 CXP                 CXR                 
-5                  -0.223032           0                   0                   -0.201017           0                   0                   0                   
-4.8                -0.224409           0                   0                   -0.192993           0                   0                   0                   
-4.6                -0.225786           0                   0                   -0.184969           0                   0                   0                   
-4.4                -0.227164           0                   0                   -0.176944           0                   0                   0                   
-4.2                -0.217353           0                   0                   -0.168916           0                   0                   0                   
-4                  -0.196356           0                   0                   -0.160885           0                   0                   0                   
-3.8                -0.175359           0                   0                   -0.152853           0                   0                   0                   
-3.6                -0.154361           0                   0                   -0.144821           0                   0                   0                   
-3.4                -0.142895           0                   0                   -0.136783           0                   0                   0                   
-3.2                -0.131428           0                   0                   -0.128745           0                   0                   0                   
-3                  -0.119962           0                   0                   -0.120707           0                   0                   0                   
-2.8                -0.100435           0                   0                   -0.112667           0                   0                   0                   
-2.6                -0.072849           0                   0                   -0.104624           0                   0                   0                   
-2.4                -0.045262           0                   0                   -0.096581           0                   0                   0                   
-2.2                -0.017675           0                   0                   -0.088538           0                   0                   0                   
-2                  -0.004042           0                   0                   -0.080492           0                   0                   0                   
-1.8                0.009591            0                   0                   -0.072445           0                   0                   0                   
-1.6                0.023224            0                   0                   -0.064398           0                   0                   0                   
-1.4                0.026058            0                   0                   -0.05635            0                   0                   0                   
-1.2                0.018093            0                   0                   -0.048301           0                   0                   0                   
-1                  0.010128            0                   0                   -0.040252           0                   0                   0                   
-0.8                0.002163            0                   0                   -0.032203           0                   0                   0                   
-0.6                0.007986            0                   0                   -0.024152           0                   0                   0                   
-0.4                0.01381             0                   0                   -0.016101           0                   0                   0                   
-0.2                0.019633            0                   0                   -0.008051           0                   0                   0                   
0                   0.033276            0                   0                   0                   0                   0                   0                   
0.2                 0.05474             0                   0                   0.008051            0                   0                   0                   
0.4                 0.076204            0                   0                   0.016102            0                   0                   0                   
0.6                 0.097668            0                   0                   0.024152            0                   0                   0                   
0.8                 0.104804            0                   0                   0.032202            0                   0                   0                   
1                   0.111941            0                   0                   0.040252            0                   0                   0                   
1.2                 0.119077            0                   0                   0.048302            0                   0                   0                   
1.4                 0.130705            0                   0                   0.05635             0                   0                   0                   
1.6                 0.146826            0                   0                   0.064398            0                   0                   0                   
1.8                 0.162947            0                   0                   0.072445            0                   0                   0                   
2                   0.179068            0                   0                   0.080493            0                   0                   0                   
2.2                 0.192827            0                   0                   0.088537            0                   0                   0                   
2.4                 0.206585            0                   0                   0.096581            0                   0                   0                   
2.6                 0.220344            0                   0                   0.104625            0                   0                   0                   
2.8                 0.234194            0                   0                   0.112667            0                   0                   0                   
3                   0.248136            0                   0                   0.120706            0                   0                   0                   
3.2                 0.262077            0                   0                   0.128746            0                   0                   0                   
3.4                 0.276019            0                   0                   0.136785            0                   0                   0                   
3.6                 0.289891            0                   0                   0.144819            0                   0                   0                   
3.8                 0.303762            0                   0                   0.152852            0                   0                   0                   
4                   0.317634            0                   0                   0.160886            0                   0                   0                   
4.2                 0.3315              0                   0                   0.168916            0                   0                   0                   
4.4                 0.34536             0                   0                   0.176943            0                   0                   0                   
4.6                 0.35922             0                   0                   0.184969            0                   0                   0                   
4.8                 0.37308             0                   0                   0.192996            0                   0                   0                   
5                   0.38692             0                   0                   0.201014            0                   0                   0                   
5.2                 0.40076             0                   0                   0.209033            0                   0                   0                   
5.4                 0.4146              0                   0                   0.217051            0                   0                   0                   
5.6                 0.428374            0                   0                   0.225065            0                   0                   0                   
5.8                 0.442081            0                   0                   0.233074            0                   0                   0                   
6                   0.455788            0                   0                   0.241083            0                   0                   0                   
6.2                 0.469495            0                   0                   0.249091            0                   0                   0                   
6.4                 0.483048            0                   0                   0.25709             0                   0                   0                   
6.6                 0.4966              0                   0                   0.265088            0                   0                   0                   
6.8                 0.510152            0                   0                   0.273086            0                   0                   0                   
7                   0.523694            0                   0                   0.281079            0                   0                   0                   
7.2                 0.537225            0                   0                   0.289065            0                   0                   0                   
7.4                 0.550757            0                   0                   0.297052            0                   0                   0                   
7.6                 0.564289            0                   0                   0.305038            0                   0                   0                   
7.8                 0.577722            0                   0                   0.313012            0                   0                   0                   
8                   0.591155            0                   0                   0.320985            0                   0                   0                   
8.2                 0.604588            0                   0                   0.328959            0                   0                   0                   
8.4                 0.617624            0                   0                   0.336925            0                   0                   0                   
8.6                 0.630262            0                   0                   0.344884            0                   0                   0                   
8.8                 0.6429              0                   0                   0.352844            0                   0                   0                   
9                   0.655538            0                   0                   0.360803            0                   0                   0                   
9.2                 0.66761             0                   0                   0.368747            0                   0                   0                   
9.4                 0.679681            0                   0                   0.376691            0                   0                   0                   
9.6                 0.691752            0                   0                   0.384635            0                   0                   0                   
9.8                 0.704138            0                   0                   0.39257             0                   0                   0                   
10                  0.716838            0                   0                   0.400498            0                   0                   0                   
10.2                0.729538            0                   0                   0.408425            0                   0                   0                   
10.4                0.742238            0                   0                   0.416352            0                   0                   0                   
10.6                0.754962            0                   0                   0.424262            0                   0                   0                   
10.8                0.767686            0                   0                   0.432171            0                   0                   0                   
11                  0.78041             0                   0                   0.440081            0                   0                   0                   
11.2                0.792378            0                   0                   0.447981            0                   0                   0                   
11.4                0.803591            0                   0                   0.455872            0                   0                   0                   
11.6                0.814804            0                   0                   0.463762            0                   0                   0                   
11.8                0.826017            0                   0                   0.471653            0                   0                   0                   
12                  0.833392            0                   0                   0.479524            0                   0                   0                   
12.2                0.840767            0                   0                   0.487394            0                   0                   0                   
12.4                0.848142            0                   0                   0.495265            0                   0                   0                   
12.6                0.855754            0                   0                   0.503124            0                   0                   0                   
12.8                0.863603            0                   0                   0.510974            0                   0                   0                   
13                  0.871452            0                   0                   0.518823            0                   0                   0                   
13.2                0.879301            0                   0                   0.526672            0                   0                   0                   
13.4                0.885512            0                   0                   0.534499            0                   0                   0                   
13.6                0.891723            0                   0                   0.542326            0                   0                   0                   
13.8                0.897934            0                   0                   0.550152            0                   0                   0                   
14                  0.901848            0                   0                   0.557967            0                   0                   0                   
14.2                0.903464            0                   0                   0.565771            0                   0                   0                   
14.4                0.905081            0                   0                   0.573574            0                   0                   0                   
14.6                0.906697            0                   0                   0.581377            0                   0                   0                   
14.8                0.890721            0                   0                   0.589155            0                   0                   0                   
15                  0.874745            0                   0                   0.596934            0                   0                   0                   
