
--------------------------------- AERODYNAMIC DATABASE @SEA LEVEL ---------------------------------
DATA IN S.I. UNITS		BODY AXES REFERENCE

MASS                                              0.8856                   
WING SPAN                                         0.855                    
WING AREA                                         0.240683                 
CHORD                                             0.293699                 
MACH DRAG RISE                                    0.6                      
THRUST AXIS OFFSET (REF. TO XB ALONG X)           0                        
THRUST AXIS OFFSET (REF. TO XB ALONG Y)           0                        
THRUST AXIS OFFSET (REF. TO XB ALONG Z)           0                        
THRUST AXIS ANGULAR OFFSET                        0                        
(REF. TO XB / X-Y PLANE / POSITIVE RIGHT)         
THRUST AXIS ANGULAR OFFSET                        0                        
(REF. TO XB / X-Z PLANE / POSITIVE RIGHT)         
NUMBER OF ANGLES OF ATTACK                        106                      
ROTARY DERIVATIVES                                PRESENT                  
CENTER OF GRAVITY                                 0.111                    
(REFERENCE LOCATION REF. TO CMAER)                
JX                                                0.00814267               
JY                                                0.0113792                
JZ                                                0.019049                 
JXZ                                               1.01917e-05              
OPTION FOR C.G. UPDATE                            NO                       
CENTER OF GRAVITY REFERENCE LOCATION (UPDATED)    0.111                    
PILOT POSITION (REF. TO CG ALONG XB)              0                        
PILOT POSITION (REF. TO CG ALONG YB)              0                        
PILOT POSITION (REF. TO CG ALONG ZB)              0                        

		DEFLECTION LIMITS
ELEVATOR (max)                                    20                       
ELEVATOR (min)                                    -20                      
AILERONS (symmetrical)                            20                       
RUDDER   (symmetrical)                            20                       
FLAP (up)                                         0                        
FLAP (down)                                       30                       

		FUEL MASS
MASS SWITCH                                       VARIABLE                 
FUEL WEIGHT FRACTION (REF. TO TOW)                0.33                     

		STEADY STATE COEFFICIENTS
ALPHA (deg)         CX                  CY                  CZ                  CL                  CM                  CN                  
15.4                0.198082            0                   -0.719647           0                   0                   0                   
15.6                0.193702            0                   -0.694801           0                   0                   0                   
15.8                0.189322            0                   -0.669955           0                   0                   0                   
16                  0.184942            0                   -0.645109           0                   0                   0                   
16.2                0.176286            0                   -0.607981           0                   0                   0                   
16.4                0.167018            0                   -0.569098           0                   0                   0                   
16.6                0.15775             0                   -0.530215           0                   0                   0                   
16.8                0.1508              0                   -0.501053           0                   0                   0                   

		CONTROL MOMENT DERIVATIVES
ALPHA (deg)         CLDA                CLDR                CMDE                CMDLE               CNDA                CNDR                
-5                  0.153321            0                   -0.69525            0                   0.012189            0                   
-4.8                0.153193            0                   -0.691751           0                   0.011655            0                   
-4.6                0.153064            0                   -0.690826           0                   0.011121            0                   
-4.4                0.152936            0                   -0.695046           0                   0.010588            0                   
-4.2                0.152697            0                   -0.714049           0                   0.010054            0                   
-4                  0.152274            0                   -0.748926           0                   0.009519            0                   
-3.8                0.151851            0                   -0.77544            0                   0.008985            0                   
-3.6                0.151427            0                   -0.780729           0                   0.008451            0                   
-3.4                0.15121             0                   -0.734884           0                   0.007927            0                   
-3.2                0.151062            0                   -0.659232           0                   0.007408            0                   
-3                  0.150914            0                   -0.578553           0                   0.006888            0                   
-2.8                0.150809            0                   -0.516926           0                   0.00637             0                   
-2.6                0.151015            0                   -0.520368           0                   0.00586             0                   
-2.4                0.15122             0                   -0.544195           0                   0.005351            0                   
-2.2                0.151425            0                   -0.580252           0                   0.004841            0                   
-2                  0.151714            0                   -0.6049             0                   0.004329            0                   
-1.8                0.152086            0                   -0.614061           0                   0.003815            0                   
-1.6                0.152458            0                   -0.623223           0                   0.0033              0                   
-1.4                0.152831            0                   -0.632384           0                   0.002786            0                   
-1.2                0.153217            0                   -0.640253           0                   0.002268            0                   
-1                  0.153605            0                   -0.647937           0                   0.00175             0                   
-0.8                0.153993            0                   -0.65562            0                   0.001232            0                   
-0.6                0.154498            0                   -0.663776           0                   0.000707            0                   
-0.4                0.155353            0                   -0.673349           0                   0.000164            0                   
-0.2                0.156207            0                   -0.682922           0                   -0.000379           0                   
0                   0.157062            0                   -0.692495           0                   -0.000921           0                   
0.2                 0.157507            0                   -0.699024           0                   -0.001494           0                   
0.4                 0.157707            0                   -0.703728           0                   -0.002085           0                   
0.6                 0.157906            0                   -0.708431           0                   -0.002675           0                   
0.8                 0.158105            0                   -0.713134           0                   -0.003266           0                   
1                   0.158546            0                   -0.717026           0                   -0.00385            0                   
1.2                 0.158988            0                   -0.720918           0                   -0.004434           0                   
1.4                 0.15943             0                   -0.72481            0                   -0.005017           0                   
1.6                 0.159848            0                   -0.728768           0                   -0.005603           0                   
1.8                 0.160226            0                   -0.732837           0                   -0.006192           0                   
2                   0.160605            0                   -0.736905           0                   -0.006781           0                   
2.2                 0.160984            0                   -0.740974           0                   -0.007369           0                   
2.4                 0.161072            0                   -0.742515           0                   -0.00795            0                   
2.6                 0.161063            0                   -0.743214           0                   -0.008529           0                   
2.8                 0.161054            0                   -0.743913           0                   -0.009107           0                   
3                   0.160997            0                   -0.744305           0                   -0.009682           0                   
3.2                 0.160605            0                   -0.742549           0                   -0.010232           0                   
3.4                 0.160214            0                   -0.740794           0                   -0.010783           0                   
3.6                 0.159822            0                   -0.739038           0                   -0.011333           0                   
3.8                 0.159391            0                   -0.736553           0                   -0.011873           0                   
4                   0.158922            0                   -0.73334            0                   -0.012404           0                   
4.2                 0.158453            0                   -0.730126           0                   -0.012934           0                   
4.4                 0.157984            0                   -0.726913           0                   -0.013465           0                   
4.6                 0.157344            0                   -0.723123           0                   -0.013972           0                   
4.8                 0.156679            0                   -0.719251           0                   -0.014477           0                   
5                   0.156015            0                   -0.715379           0                   -0.014981           0                   
5.2                 0.155301            0                   -0.711374           0                   -0.01548            0                   
5.4                 0.154439            0                   -0.706973           0                   -0.015963           0                   
5.6                 0.153578            0                   -0.702571           0                   -0.016447           0                   
5.8                 0.152716            0                   -0.698169           0                   -0.01693            0                   
6                   0.152232            0                   -0.693841           0                   -0.017426           0                   
6.2                 0.151974            0                   -0.689556           0                   -0.017929           0                   
6.4                 0.151716            0                   -0.685272           0                   -0.018432           0                   
6.6                 0.151458            0                   -0.680987           0                   -0.018935           0                   
6.8                 0.15136             0                   -0.678945           0                   -0.019445           0                   
7                   0.151262            0                   -0.676903           0                   -0.019956           0                   
7.2                 0.151164            0                   -0.674862           0                   -0.020466           0                   
7.4                 0.151096            0                   -0.673038           0                   -0.020978           0                   
7.6                 0.151079            0                   -0.671576           0                   -0.021493           0                   
7.8                 0.151061            0                   -0.670115           0                   -0.022008           0                   
8                   0.151043            0                   -0.668654           0                   -0.022522           0                   
8.2                 0.151058            0                   -0.667694           0                   -0.023039           0                   
8.4                 0.151084            0                   -0.666901           0                   -0.023555           0                   
8.6                 0.15111             0                   -0.666109           0                   -0.024072           0                   
8.8                 0.151131            0                   -0.665371           0                   -0.024588           0                   
9                   0.151119            0                   -0.665012           0                   -0.025097           0                   
9.2                 0.151106            0                   -0.664654           0                   -0.025607           0                   
9.4                 0.151093            0                   -0.664296           0                   -0.026116           0                   
9.6                 0.15105             0                   -0.663938           0                   -0.02662            0                   
9.8                 0.150975            0                   -0.663581           0                   -0.027117           0                   
10                  0.1509              0                   -0.663225           0                   -0.027613           0                   
10.2                0.150826            0                   -0.662868           0                   -0.02811            0                   
10.4                0.150704            0                   -0.662247           0                   -0.028594           0                   
10.6                0.150576            0                   -0.661589           0                   -0.029077           0                   
10.8                0.150448            0                   -0.660931           0                   -0.029559           0                   
11                  0.150302            0                   -0.660132           0                   -0.030036           0                   
11.2                0.150102            0                   -0.658908           0                   -0.030496           0                   
11.4                0.149901            0                   -0.657685           0                   -0.030956           0                   
11.6                0.149701            0                   -0.656461           0                   -0.031416           0                   
11.8                0.149439            0                   -0.654752           0                   -0.031856           0                   
12                  0.149139            0                   -0.652751           0                   -0.032284           0                   
12.2                0.148838            0                   -0.650751           0                   -0.032713           0                   
12.4                0.148538            0                   -0.64875            0                   -0.033141           0                   
12.6                0.148082            0                   -0.64558            0                   -0.033516           0                   
12.8                0.147626            0                   -0.64241            0                   -0.033891           0                   
13                  0.14717             0                   -0.63924            0                   -0.034267           0                   
13.2                0.146601            0                   -0.635148           0                   -0.034604           0                   
13.4                0.145842            0                   -0.62952            0                   -0.034877           0                   
13.6                0.145084            0                   -0.623892           0                   -0.03515            0                   
13.8                0.144325            0                   -0.618265           0                   -0.035423           0                   
14                  0.1431              0                   -0.609594           0                   -0.03554            0                   
14.2                0.141718            0                   -0.599909           0                   -0.035605           0                   
14.4                0.140337            0                   -0.590225           0                   -0.035669           0                   
14.6                0.138939            0                   -0.581127           0                   -0.035729           0                   
14.8                0.137429            0                   -0.576136           0                   -0.035758           0                   
15                  0.135919            0                   -0.571146           0                   -0.035787           0                   
15.2                0.134408            0                   -0.566156           0                   -0.035816           0                   
15.4                0.131817            0                   -0.553805           0                   -0.03548            0                   
15.6                0.128145            0                   -0.534093           0                   -0.03478            0                   
15.8                0.124473            0                   -0.514381           0                   -0.034081           0                   
16                  0.1208              0                   -0.494669           0                   -0.033381           0                   
16.2                0.114766            0                   -0.466262           0                   -0.031902           0                   
16.4                0.108394            0                   -0.436614           0                   -0.030312           0                   
16.6                0.102022            0                   -0.406965           0                   -0.028722           0                   
16.8                0.097244            0                   -0.384728           0                   -0.02753            0                   

---------------------------------END OF AERODYNAMIC DATABASE @100 m ---------------------------------

--------------------------------- AERODYNAMIC DATABASE @1000 m ---------------------------------
DATA IN S.I. UNITS		BODY AXES REFERENCE

MASS                                              0.9726                   
WING SPAN                                         0.872                    
WING AREA                                         0.247038                 
CHORD                                             0.295856                 
MACH DRAG RISE                                    0.6                      
THRUST AXIS OFFSET (REF. TO XB ALONG X)           0                        
THRUST AXIS OFFSET (REF. TO XB ALONG Y)           0                        
THRUST AXIS OFFSET (REF. TO XB ALONG Z)           0                        
THRUST AXIS ANGULAR OFFSET                        0                        
(REF. TO XB / X-Y PLANE / POSITIVE RIGHT)         
THRUST AXIS ANGULAR OFFSET                        0                        
(REF. TO XB / X-Z PLANE / POSITIVE RIGHT)         
NUMBER OF ANGLES OF ATTACK                        110                      
ROTARY DERIVATIVES                                PRESENT                  
CENTER OF GRAVITY                                 0.134285                 
(REFERENCE LOCATION REF. TO CMAER)                
JX                                                0.0108883                
JY                                                0.0119219                
JZ                                                0.0223246                
JXZ                                               4.59049e-05              
OPTION FOR C.G. UPDATE                            NO                       
CENTER OF GRAVITY REFERENCE LOCATION (UPDATED)    0.134285                 
PILOT POSITION (REF. TO CG ALONG XB)              0                        
PILOT POSITION (REF. TO CG ALONG YB)              0                        
PILOT POSITION (REF. TO CG ALONG ZB)              0                        

		DEFLECTION LIMITS
ELEVATOR (max)                                    20                       
ELEVATOR (min)                                    -20                      
AILERONS (symmetrical)                            20                       
RUDDER   (symmetrical)                            20                       
FLAP (up)                                         0                        
FLAP (down)                                       30                       

		FUEL MASS
MASS SWITCH                                       VARIABLE                 
FUEL WEIGHT FRACTION (REF. TO TOW)                0                        

		STEADY STATE COEFFICIENTS
ALPHA (deg)         CX                  CY                  CZ                  CL                  CM                  CN                  
-5                  -0.002401           0                   0.253031            0                   0.020384            0                   
-4.8                -0.003124           0                   0.241121            0                   0.019476            0                   
-4.6                -0.003846           0                   0.229211            0                   0.018569            0                   
-4.4                -0.004569           0                   0.217302            0                   0.017661            0                   
-4.2                -0.005263           0                   0.205933            0                   0.016857            0                   
-4                  -0.005909           0                   0.195468            0                   0.016225            0                   
-3.8                -0.006555           0                   0.185002            0                   0.015594            0                   
-3.6                -0.007201           0                   0.174536            0                   0.014962            0                   
-3.4                -0.007839           0                   0.164208            0                   0.014363            0                   
-3.2                -0.008474           0                   0.153926            0                   0.013775            0                   
-3                  -0.009109           0                   0.143644            0                   0.013187            0                   
-2.8                -0.009729           0                   0.13341             0                   0.012603            0                   
-2.6                -0.010242           0                   0.12351             0                   0.012052            0                   
-2.4                -0.010755           0                   0.11361             0                   0.0115              0                   
-2.2                -0.011268           0                   0.10371             0                   0.010948            0                   
-2                  -0.011744           0                   0.093159            0                   0.010327            0                   
-1.8                -0.012181           0                   0.081957            0                   0.009639            0                   
-1.6                -0.012619           0                   0.070755            0                   0.00895             0                   
-1.4                -0.013056           0                   0.059553            0                   0.008261            0                   
-1.2                -0.013315           0                   0.04888             0                   0.007528            0                   
-1                  -0.013548           0                   0.038283            0                   0.00679             0                   
-0.8                -0.013781           0                   0.027686            0                   0.006051            0                   
-0.6                -0.013972           0                   0.016934            0                   0.005274            0                   
-0.4                -0.014036           0                   0.005716            0                   0.004384            0                   
-0.2                -0.0141             0                   -0.005501           0                   0.003494            0                   
0                   -0.014164           0                   -0.016718           0                   0.002604            0                   
0.2                 -0.014119           0                   -0.028202           0                   0.001604            0                   
0.4                 -0.014009           0                   -0.039845           0                   0.00054             0                   
0.6                 -0.013898           0                   -0.051487           0                   -0.000525           0                   
0.8                 -0.013788           0                   -0.06313            0                   -0.00159            0                   
1                   -0.013499           0                   -0.075053           0                   -0.002812           0                   
1.2                 -0.013209           0                   -0.086976           0                   -0.004035           0                   
1.4                 -0.01292            0                   -0.098899           0                   -0.005258           0                   
1.6                 -0.012559           0                   -0.110553           0                   -0.006495           0                   
1.8                 -0.012079           0                   -0.12176            0                   -0.007756           0                   
2                   -0.011599           0                   -0.132966           0                   -0.009018           0                   
2.2                 -0.011119           0                   -0.144173           0                   -0.01028            0                   
2.4                 -0.010464           0                   -0.157487           0                   -0.011674           0                   
2.6                 -0.00975            0                   -0.171505           0                   -0.013113           0                   
2.8                 -0.009037           0                   -0.185522           0                   -0.014552           0                   
3                   -0.008302           0                   -0.199237           0                   -0.015963           0                   
3.2                 -0.007419           0                   -0.210834           0                   -0.017178           0                   
3.4                 -0.006535           0                   -0.22243            0                   -0.018392           0                   
3.6                 -0.005652           0                   -0.234027           0                   -0.019607           0                   
3.8                 -0.004672           0                   -0.245604           0                   -0.020818           0                   
4                   -0.003595           0                   -0.257161           0                   -0.022026           0                   
4.2                 -0.002518           0                   -0.268718           0                   -0.023234           0                   
4.4                 -0.001442           0                   -0.280275           0                   -0.024442           0                   
4.6                 -0.000213           0                   -0.291671           0                   -0.025635           0                   
4.8                 0.001037            0                   -0.303045           0                   -0.026827           0                   
5                   0.002287            0                   -0.314419           0                   -0.028018           0                   
5.2                 0.003572            0                   -0.325691           0                   -0.0292             0                   
5.4                 0.004962            0                   -0.336656           0                   -0.030355           0                   
5.6                 0.006351            0                   -0.347621           0                   -0.03151            0                   
5.8                 0.007741            0                   -0.358586           0                   -0.032665           0                   
6                   0.009233            0                   -0.369459           0                   -0.03375            0                   
6.2                 0.010785            0                   -0.380276           0                   -0.034794           0                   
6.4                 0.012338            0                   -0.391094           0                   -0.035839           0                   
6.6                 0.013891            0                   -0.401911           0                   -0.036883           0                   
6.8                 0.015631            0                   -0.412833           0                   -0.037783           0                   
7                   0.017372            0                   -0.423756           0                   -0.038684           0                   
7.2                 0.019112            0                   -0.434678           0                   -0.039585           0                   
7.4                 0.020917            0                   -0.445598           0                   -0.040453           0                   
7.6                 0.022832            0                   -0.456514           0                   -0.041268           0                   
7.8                 0.024747            0                   -0.46743            0                   -0.042083           0                   
8                   0.026661            0                   -0.478346           0                   -0.042897           0                   
8.2                 0.028701            0                   -0.489252           0                   -0.043726           0                   
8.4                 0.030783            0                   -0.500154           0                   -0.04456            0                   
8.6                 0.032865            0                   -0.511057           0                   -0.045394           0                   
8.8                 0.034969            0                   -0.521957           0                   -0.046231           0                   
9                   0.037224            0                   -0.532842           0                   -0.047094           0                   
9.2                 0.039479            0                   -0.543727           0                   -0.047958           0                   
9.4                 0.041734            0                   -0.554612           0                   -0.048821           0                   
9.6                 0.044077            0                   -0.565483           0                   -0.04969            0                   
9.8                 0.046508            0                   -0.576339           0                   -0.050566           0                   
10                  0.048939            0                   -0.587195           0                   -0.051441           0                   
10.2                0.05137             0                   -0.598051           0                   -0.052317           0                   
10.4                0.053949            0                   -0.608873           0                   -0.053198           0                   
10.6                0.056549            0                   -0.619691           0                   -0.05408            0                   
10.8                0.059149            0                   -0.630509           0                   -0.054962           0                   
11                  0.061787            0                   -0.641307           0                   -0.055845           0                   
11.2                0.064539            0                   -0.652046           0                   -0.056728           0                   
11.4                0.067291            0                   -0.662784           0                   -0.05761            0                   
11.6                0.070042            0                   -0.673522           0                   -0.058493           0                   
11.8                0.072889            0                   -0.684208           0                   -0.059376           0                   
12                  0.075792            0                   -0.694863           0                   -0.060259           0                   
12.2                0.078695            0                   -0.705518           0                   -0.061142           0                   
12.4                0.081598            0                   -0.716172           0                   -0.062025           0                   
12.6                0.084637            0                   -0.72669            0                   -0.062902           0                   
12.8                0.087677            0                   -0.737207           0                   -0.06378            0                   
13                  0.090716            0                   -0.747725           0                   -0.064657           0                   
13.2                0.093802            0                   -0.758183           0                   -0.06553            0                   
13.4                0.096967            0                   -0.768542           0                   -0.066396           0                   
13.6                0.100132            0                   -0.778902           0                   -0.067261           0                   
13.8                0.103297            0                   -0.789261           0                   -0.068127           0                   
14                  0.106539            0                   -0.799449           0                   -0.068977           0                   
14.2                0.109807            0                   -0.80958            0                   -0.069821           0                   
14.4                0.113074            0                   -0.819711           0                   -0.070665           0                   
14.6                0.116351            0                   -0.829801           0                   -0.071504           0                   
14.8                0.11969             0                   -0.839608           0                   -0.072308           0                   
15                  0.123029            0                   -0.849414           0                   -0.073112           0                   
15.2                0.126369            0                   -0.859221           0                   -0.073915           0                   
15.4                0.129695            0                   -0.868726           0                   -0.074681           0                   
15.6                0.133007            0                   -0.877931           0                   -0.075409           0                   
15.8                0.136319            0                   -0.887135           0                   -0.076138           0                   
16                  0.139631            0                   -0.896339           0                   -0.076866           0                   
16.2                0.142778            0                   -0.904545           0                   -0.077467           0                   
16.4                0.145901            0                   -0.912609           0                   -0.078051           0                   
16.6                0.149024            0                   -0.920673           0                   -0.078634           0                   
16.8                0.151366            0                   -0.926721           0                   -0.079072           0                   


		AERODYNAMIC DERIVATIVES

		X  FORCE DERIVATIVES
ALPHA (deg)         CXA                 CXAP                CXU                 CXQ                 CXB                 CXP                 CXR                 
-5                  -0.207049           0                   0                   -0.193759           0                   0                   0                   
-4.8                -0.200978           0                   0                   -0.186024           0                   0                   0                   
-4.6                -0.194908           0                   0                   -0.178289           0                   0                   0                   
-4.4                -0.188837           0                   0                   -0.170555           0                   0                   0                   
-4.2                -0.184728           0                   0                   -0.162817           0                   0                   0                   
-4                  -0.183888           0                   0                   -0.155075           0                   0                   0                   
-3.8                -0.183048           0                   0                   -0.147333           0                   0                   0                   
-3.6                -0.182208           0                   0                   -0.139591           0                   0                   0                   
-3.4                -0.174748           0                   0                   -0.131844           0                   0                   0                   
-3.2                -0.165082           0                   0                   -0.124096           0                   0                   0                   
-3                  -0.155416           0                   0                   -0.116348           0                   0                   0                   
-2.8                -0.146213           0                   0                   -0.108599           0                   0                   0                   
-2.6                -0.140254           0                   0                   -0.100846           0                   0                   0                   
-2.4                -0.134295           0                   0                   -0.093093           0                   0                   0                   
-2.2                -0.128336           0                   0                   -0.08534            0                   0                   0                   
-2                  -0.117273           0                   0                   -0.077586           0                   0                   0                   
-1.8                -0.101104           0                   0                   -0.069829           0                   0                   0                   
-1.6                -0.084935           0                   0                   -0.062072           0                   0                   0                   
-1.4                -0.068767           0                   0                   -0.054316           0                   0                   0                   
-1.2                -0.055065           0                   0                   -0.046557           0                   0                   0                   
-1                  -0.041716           0                   0                   -0.038798           0                   0                   0                   
-0.8                -0.028367           0                   0                   -0.031039           0                   0                   0                   
-0.6                -0.01491            0                   0                   -0.02328            0                   0                   0                   
-0.4                -0.001131           0                   0                   -0.01552            0                   0                   0                   
-0.2                0.012648            0                   0                   -0.00776            0                   0                   0                   
0                   0.026426            0                   0                   0                   0                   0                   0                   
0.2                 0.040443            0                   0                   0.00776             0                   0                   0                   
0.4                 0.054603            0                   0                   0.01552             0                   0                   0                   
0.6                 0.068762            0                   0                   0.02328             0                   0                   0                   
0.8                 0.082922            0                   0                   0.03104             0                   0                   0                   
1                   0.097982            0                   0                   0.038798            0                   0                   0                   
1.2                 0.113042            0                   0                   0.046557            0                   0                   0                   
1.4                 0.128102            0                   0                   0.054315            0                   0                   0                   
1.6                 0.144432            0                   0                   0.062073            0                   0                   0                   
1.8                 0.162878            0                   0                   0.069829            0                   0                   0                   
2                   0.181324            0                   0                   0.077585            0                   0                   0                   
2.2                 0.199769            0                   0                   0.085341            0                   0                   0                   
2.4                 0.214458            0                   0                   0.093094            0                   0                   0                   
2.6                 0.227895            0                   0                   0.100846            0                   0                   0                   
2.8                 0.241332            0                   0                   0.108598            0                   0                   0                   
3                   0.254998            0                   0                   0.11635             0                   0                   0                   
3.2                 0.270271            0                   0                   0.124097            0                   0                   0                   
3.4                 0.285543            0                   0                   0.131844            0                   0                   0                   
3.6                 0.300815            0                   0                   0.13959             0                   0                   0                   
3.8                 0.315307            0                   0                   0.147334            0                   0                   0                   
4                   0.329018            0                   0                   0.155075            0                   0                   0                   
4.2                 0.342729            0                   0                   0.162816            0                   0                   0                   
4.4                 0.35644             0                   0                   0.170556            0                   0                   0                   
4.6                 0.367794            0                   0                   0.17829             0                   0                   0                   
4.8                 0.37881             0                   0                   0.186023            0                   0                   0                   
5                   0.389827            0                   0                   0.193756            0                   0                   0                   
5.2                 0.401314            0                   0                   0.201487            0                   0                   0                   
5.4                 0.414213            0                   0                   0.209212            0                   0                   0                   
5.6                 0.427111            0                   0                   0.216936            0                   0                   0                   
5.8                 0.44001             0                   0                   0.22466             0                   0                   0                   
6                   0.454105            0                   0                   0.232378            0                   0                   0                   
6.2                 0.468917            0                   0                   0.240092            0                   0                   0                   
6.4                 0.48373             0                   0                   0.247807            0                   0                   0                   
6.6                 0.498542            0                   0                   0.255521            0                   0                   0                   
6.8                 0.512318            0                   0                   0.263224            0                   0                   0                   
